ID,Municipio,Comunidade,Area,Sexo,Idade,Faixa_Etaria,Escolaridade,Renda,Ocupacao,Tempo_Residencia,Participou_Oficina,Participa_Associacao,Benef_Programa,Forma_Coleta,QV,Saude,Educacao,Transporte,Seguranca,Meio_Ambiente,Agua,Geracao_Renda,Confianca_Empresa,Confianca_PoderPublico,Pertencimento,Conhecimento_Projeto,Transparencia,Participacao_Social,Principal_Preocupacao,Prioridade_Investimento,Canal_Comunicacao,Sugestao
237,São Miguel do Norte,São José,Urbana,M,23,18-29,Médio,3502,Desempregado,8,Não,Não,Não,Tablet,3,4,2,4,5,4,5,2,3,5,4,4,3,3,Segurança,Emprego,Lideranças,Melhorar transporte rural.
238,Serra Azul,Barreiro,Urbana,M,59,45-59,Fundamental,3344,Formal,44,Não,Não,Não,QR Code,4,4,5,4,4,2,5,2,2,5,4,2,2,1,Emprego,Saúde,Redes Sociais,Melhorar transporte rural.
239,Vale Verde,Boa Vista,Rural,F,52,45-59,Médio,1673,Desempregado,21,Não,Não,Não,Totem,5,2,2,2,3,4,2,2,3,3,5,2,3,2,Água,Saúde,WhatsApp,Melhorar transporte rural.
240,Santa Aurora,Lagoa,Urbana,M,61,60+,Fundamental,3239,Agricultura,5,Não,Não,Não,Totem,4,4,5,4,2,2,5,3,3,2,3,4,3,3,Segurança,Saúde,Lideranças,Melhorar abastecimento de água.
241,Vale Verde,Boa Vista,Rural,F,70,60+,Superior,3182,Autônomo,4,Sim,Não,Não,QR Code,3,4,2,2,3,3,3,5,3,3,4,4,3,3,Água,Saúde,WhatsApp,Melhorar transporte rural.
242,Santa Aurora,Lagoa,Urbana,F,57,45-59,Fundamental,2158,Formal,47,Não,Sim,Não,QR Code,5,4,3,4,4,4,5,5,4,5,4,4,4,3,Emprego,Saúde,Redes Sociais,Ampliar atendimento de saúde.
243,Pedra Branca,Pedreira,Rural,F,43,30-44,Fundamental,2060,Agricultura,43,Não,Sim,Não,Totem,5,2,2,3,5,4,4,5,3,5,4,4,3,3,Água,Água,WhatsApp,Ampliar atendimento de saúde.
244,Rio Claro,Centro,Urbana,M,20,18-29,Médio,2346,Agricultura,25,Não,Não,Não,QR Code,3,4,3,4,3,5,5,2,4,5,5,4,4,3,Emprego,Emprego,Redes Sociais,Melhorar abastecimento de água.
245,Lagoa Nova,Córrego,Urbana,F,71,60+,Superior,2971,Aposentado,57,Não,Sim,Não,Tablet,4,4,5,4,4,5,5,2,5,4,3,4,5,1,Saúde,Saúde,Rádio,Melhorar transporte rural.
246,São Miguel do Norte,São José,Rural,M,42,30-44,Fundamental,2044,Aposentado,6,Não,Não,Não,Tablet,5,2,5,3,2,3,4,2,2,2,5,4,2,1,Água,Emprego,WhatsApp,Investir em qualificação profissional.
247,Santa Aurora,Lagoa,Rural,F,70,60+,Médio,3498,Autônomo,22,Não,Não,Não,QR Code,4,2,5,1,2,4,4,2,4,4,5,4,4,1,Água,Saúde,Lideranças,Melhorar transporte rural.
248,Pedra Branca,Pedreira,Urbana,M,76,60+,Médio,3492,Agricultura,1,Não,Não,Não,QR Code,4,4,4,4,3,2,5,4,3,2,5,4,3,3,Saúde,Saúde,Lideranças,Melhorar abastecimento de água.
249,Pedra Branca,Pedreira,Urbana,M,51,45-59,Superior,1952,Desempregado,10,Não,Não,Sim,Tablet,3,4,4,4,4,4,5,2,4,4,4,3,4,1,Emprego,Saúde,WhatsApp,Melhorar abastecimento de água.
250,Serra Azul,Barreiro,Urbana,M,64,60+,Superior,1697,Aposentado,7,Sim,Sim,Não,QR Code,2,4,5,4,2,4,5,2,4,4,4,4,4,3,Saúde,Saúde,Rádio,Ampliar atendimento de saúde.
251,Santa Aurora,Lagoa,Urbana,F,37,30-44,Médio,3590,Agricultura,9,Não,Não,Não,QR Code,3,4,5,4,4,3,5,4,2,2,3,2,2,3,Saúde,Água,Redes Sociais,Melhorar transporte rural.
252,Boa Esperança,Santa Rita,Urbana,M,26,18-29,Fundamental,1966,Desempregado,44,Não,Sim,Não,QR Code,4,4,3,4,2,2,5,2,4,2,4,3,4,3,Saúde,Emprego,Redes Sociais,Melhorar transporte rural.
253,São Miguel do Norte,São José,Rural,F,68,60+,Fundamental,2706,Desempregado,48,Não,Não,Não,QR Code,5,3,5,1,4,3,3,2,3,2,5,2,3,2,Água,Saúde,Rádio,Melhorar transporte rural.
254,Boa Esperança,Santa Rita,Rural,M,44,30-44,Médio,3058,Agricultura,45,Sim,Não,Não,QR Code,4,3,3,3,3,5,3,2,4,2,3,4,4,3,Água,Emprego,Redes Sociais,Melhorar abastecimento de água.
255,Santa Aurora,Lagoa,Rural,F,54,45-59,Fundamental,2965,Agricultura,46,Sim,Não,Não,Totem,4,4,5,3,3,3,4,5,3,3,5,3,3,3,Água,Saúde,Rádio,Ampliar atendimento de saúde.
256,Rio Claro,Centro,Urbana,M,22,18-29,Fundamental,3091,Aposentado,40,Sim,Não,Sim,Totem,2,4,3,4,4,4,5,5,3,5,5,3,3,3,Emprego,Emprego,WhatsApp,Melhorar abastecimento de água.
257,São Miguel do Norte,São José,Rural,F,54,45-59,Fundamental,3083,Autônomo,1,Sim,Não,Não,Totem,5,3,5,1,2,5,4,2,4,5,4,3,4,3,Água,Saúde,Rádio,Ampliar atendimento de saúde.
258,Lagoa Nova,Córrego,Urbana,M,38,30-44,Médio,3273,Desempregado,36,Sim,Não,Sim,QR Code,5,4,5,4,5,4,5,3,5,5,4,3,5,3,Saúde,Educação,Redes Sociais,Melhorar transporte rural.
259,Lagoa Nova,Córrego,Urbana,F,35,30-44,Médio,3534,Desempregado,18,Sim,Sim,Não,Totem,5,4,2,4,3,2,5,4,5,3,5,5,5,3,Saúde,Emprego,Lideranças,Melhorar transporte rural.
260,Vale Verde,Boa Vista,Urbana,F,32,30-44,Superior,3083,Desempregado,44,Não,Não,Não,Totem,5,4,3,4,5,4,5,2,3,5,4,4,3,2,Saúde,Emprego,WhatsApp,Melhorar abastecimento de água.
261,Pedra Branca,Pedreira,Urbana,M,77,60+,Superior,1657,Autônomo,56,Não,Não,Sim,Tablet,2,4,4,4,2,3,5,2,3,2,3,2,3,3,Saúde,Saúde,Redes Sociais,Ampliar atendimento de saúde.
262,Vale Verde,Boa Vista,Rural,M,55,45-59,Superior,1550,Aposentado,36,Não,Não,Não,Tablet,2,3,2,3,4,4,2,5,4,5,4,3,4,1,Água,Saúde,Redes Sociais,Melhorar abastecimento de água.
263,Santa Aurora,Lagoa,Urbana,M,24,18-29,Fundamental,2076,Autônomo,52,Sim,Não,Não,QR Code,3,4,4,4,4,3,5,2,4,5,3,4,4,3,Segurança,Emprego,Rádio,Melhorar transporte rural.
264,Serra Azul,Barreiro,Urbana,M,42,30-44,Superior,3150,Aposentado,22,Não,Sim,Não,QR Code,5,4,4,4,5,5,5,2,3,3,4,3,3,3,Segurança,Emprego,WhatsApp,Investir em qualificação profissional.
265,Vale Verde,Boa Vista,Urbana,F,57,45-59,Médio,2508,Formal,7,Sim,Não,Sim,QR Code,3,4,4,4,2,3,5,5,5,5,4,3,5,3,Segurança,Saúde,Lideranças,Ampliar atendimento de saúde.
266,Serra Azul,Barreiro,Urbana,M,37,30-44,Médio,2370,Autônomo,16,Não,Sim,Sim,QR Code,4,4,4,4,2,5,5,4,4,2,5,3,4,2,Segurança,Emprego,Lideranças,Ampliar atendimento de saúde.
267,Santa Aurora,Lagoa,Urbana,F,56,45-59,Fundamental,2455,Agricultura,41,Não,Não,Não,Tablet,2,4,3,4,2,3,5,5,4,3,4,3,4,1,Emprego,Saúde,WhatsApp,Investir em qualificação profissional.
268,Boa Esperança,Santa Rita,Rural,F,32,30-44,Médio,2239,Aposentado,16,Sim,Não,Sim,Totem,3,3,3,1,5,5,2,2,5,4,5,5,5,3,Água,Água,Redes Sociais,Melhorar abastecimento de água.
269,Serra Azul,Barreiro,Urbana,M,72,60+,Superior,3477,Desempregado,2,Não,Não,Não,Tablet,3,4,3,4,4,4,5,2,3,5,3,2,3,2,Emprego,Saúde,Lideranças,Ampliar atendimento de saúde.
270,Vale Verde,Boa Vista,Rural,M,51,45-59,Médio,3248,Desempregado,5,Não,Não,Não,QR Code,2,2,4,3,4,3,3,2,3,3,3,4,3,1,Água,Saúde,Lideranças,Aumentar diálogo com comunidades.
271,Santa Aurora,Lagoa,Rural,M,40,30-44,Médio,2970,Aposentado,42,Não,Sim,Não,QR Code,5,2,5,1,4,3,4,3,5,5,5,5,5,3,Água,Água,Rádio,Melhorar abastecimento de água.
272,Vale Verde,Boa Vista,Rural,M,69,60+,Superior,2599,Formal,32,Sim,Não,Não,Tablet,2,4,5,2,4,2,2,4,4,3,4,4,4,3,Água,Saúde,WhatsApp,Aumentar diálogo com comunidades.
273,Vale Verde,Boa Vista,Urbana,M,44,30-44,Superior,1819,Desempregado,7,Não,Não,Não,QR Code,3,4,5,4,5,5,5,5,4,2,4,4,4,2,Saúde,Água,Lideranças,Investir em qualificação profissional.
274,Lagoa Nova,Córrego,Urbana,M,46,45-59,Superior,3356,Autônomo,39,Sim,Não,Sim,Totem,3,4,3,4,3,4,5,2,5,5,5,3,5,3,Emprego,Saúde,WhatsApp,Investir em qualificação profissional.
275,São Miguel do Norte,São José,Rural,F,28,18-29,Superior,1629,Autônomo,13,Não,Sim,Não,Tablet,2,3,2,2,5,4,3,2,5,3,5,4,5,2,Água,Emprego,Redes Sociais,Melhorar abastecimento de água.
276,Lagoa Nova,Córrego,Urbana,M,75,60+,Superior,3116,Autônomo,38,Não,Não,Não,QR Code,3,4,2,4,3,2,5,5,2,2,5,4,2,1,Segurança,Saúde,Redes Sociais,Ampliar atendimento de saúde.
277,Vale Verde,Boa Vista,Urbana,M,64,60+,Fundamental,1510,Aposentado,4,Não,Sim,Não,QR Code,4,4,4,4,2,4,5,2,5,5,3,4,5,3,Saúde,Saúde,WhatsApp,Melhorar transporte rural.
278,Serra Azul,Barreiro,Urbana,M,27,18-29,Fundamental,2629,Aposentado,59,Não,Sim,Não,QR Code,4,4,5,4,2,3,5,4,3,4,5,5,3,3,Saúde,Emprego,WhatsApp,Aumentar diálogo com comunidades.
279,Rio Claro,Centro,Urbana,F,30,30-44,Fundamental,3405,Formal,41,Não,Não,Não,QR Code,3,4,2,4,4,2,5,4,4,3,4,2,4,2,Segurança,Água,Lideranças,Ampliar atendimento de saúde.
280,Serra Azul,Barreiro,Urbana,M,71,60+,Superior,3406,Formal,37,Não,Sim,Não,QR Code,2,4,2,4,4,3,5,4,5,2,5,3,5,2,Saúde,Saúde,Redes Sociais,Ampliar atendimento de saúde.
281,Vale Verde,Boa Vista,Rural,M,68,60+,Fundamental,1564,Formal,40,Não,Não,Não,Tablet,3,4,2,2,2,5,2,3,2,5,4,2,2,3,Água,Saúde,Lideranças,Aumentar diálogo com comunidades.
282,Santa Aurora,Lagoa,Urbana,M,43,30-44,Médio,1847,Aposentado,50,Não,Não,Não,QR Code,3,4,5,4,5,5,5,4,3,2,3,2,3,1,Segurança,Água,Rádio,Aumentar diálogo com comunidades.
283,Lagoa Nova,Córrego,Urbana,F,67,60+,Fundamental,1485,Formal,52,Sim,Não,Não,QR Code,4,4,3,4,2,2,5,5,3,2,4,3,3,3,Saúde,Saúde,Rádio,Investir em qualificação profissional.
284,São Miguel do Norte,São José,Urbana,M,26,18-29,Médio,2944,Desempregado,18,Não,Não,Não,Tablet,4,4,3,4,5,4,5,3,4,3,5,2,4,3,Saúde,Emprego,WhatsApp,Aumentar diálogo com comunidades.
285,Serra Azul,Barreiro,Rural,F,20,18-29,Fundamental,3378,Autônomo,37,Não,Sim,Não,Tablet,5,2,2,3,4,4,3,5,5,5,4,3,5,1,Água,Emprego,Lideranças,Ampliar atendimento de saúde.
286,Santa Aurora,Lagoa,Urbana,F,31,30-44,Fundamental,1909,Aposentado,15,Sim,Não,Não,QR Code,2,4,2,4,4,4,5,4,4,5,3,4,4,3,Segurança,Emprego,Rádio,Aumentar diálogo com comunidades.
287,São Miguel do Norte,São José,Urbana,M,38,30-44,Médio,3032,Autônomo,43,Não,Sim,Não,Tablet,2,4,3,4,3,4,5,2,4,3,4,3,4,2,Emprego,Água,Redes Sociais,Melhorar abastecimento de água.
288,Pedra Branca,Pedreira,Rural,M,76,60+,Fundamental,2441,Aposentado,10,Não,Sim,Sim,Totem,4,4,5,3,3,5,4,5,5,2,5,3,5,1,Água,Saúde,WhatsApp,Melhorar abastecimento de água.
289,Pedra Branca,Pedreira,Rural,M,61,60+,Fundamental,2550,Autônomo,52,Não,Sim,Não,Tablet,5,3,2,2,4,5,3,5,3,3,5,4,3,2,Água,Saúde,Redes Sociais,Aumentar diálogo com comunidades.
290,Lagoa Nova,Córrego,Rural,M,37,30-44,Fundamental,2251,Desempregado,33,Não,Não,Não,Totem,3,4,3,1,2,5,4,4,2,5,4,4,2,2,Água,Água,Redes Sociais,Aumentar diálogo com comunidades.
291,São Miguel do Norte,São José,Rural,M,62,60+,Superior,2482,Agricultura,37,Não,Sim,Não,Tablet,2,2,3,2,5,3,4,4,3,3,5,5,3,1,Água,Saúde,Redes Sociais,Melhorar abastecimento de água.
292,Serra Azul,Barreiro,Urbana,M,46,45-59,Fundamental,1861,Formal,33,Não,Não,Não,QR Code,3,4,3,4,2,3,5,5,4,4,3,2,4,1,Segurança,Saúde,Lideranças,Melhorar transporte rural.
293,São Miguel do Norte,São José,Urbana,M,34,30-44,Superior,3567,Formal,58,Não,Não,Não,Totem,5,4,2,4,4,4,5,4,4,3,4,2,4,3,Segurança,Água,Rádio,Ampliar atendimento de saúde.
294,Rio Claro,Centro,Rural,F,19,18-29,Fundamental,2848,Formal,8,Não,Sim,Não,Totem,2,2,2,2,4,4,4,5,4,2,5,5,4,1,Água,Emprego,Lideranças,Aumentar diálogo com comunidades.
295,Vale Verde,Boa Vista,Urbana,M,77,60+,Fundamental,1579,Autônomo,37,Sim,Não,Não,Totem,3,4,5,4,2,2,5,4,4,3,3,5,4,3,Segurança,Saúde,Redes Sociais,Aumentar diálogo com comunidades.
296,Lagoa Nova,Córrego,Urbana,F,63,60+,Médio,3420,Autônomo,27,Não,Não,Não,Tablet,5,4,4,4,2,3,5,5,2,5,5,3,2,2,Segurança,Saúde,WhatsApp,Melhorar abastecimento de água.
297,Vale Verde,Boa Vista,Rural,F,20,18-29,Médio,2111,Formal,3,Não,Não,Não,QR Code,4,3,4,3,5,2,3,4,3,3,5,3,3,1,Água,Emprego,WhatsApp,Melhorar abastecimento de água.
298,Lagoa Nova,Córrego,Urbana,F,29,18-29,Fundamental,2435,Desempregado,34,Sim,Não,Sim,Totem,4,4,4,4,5,4,5,5,3,2,4,4,3,3,Segurança,Emprego,Redes Sociais,Ampliar atendimento de saúde.
299,Rio Claro,Centro,Rural,F,47,45-59,Superior,3983,Desempregado,14,Não,Não,Não,Tablet,4,4,2,2,4,5,4,2,2,4,4,3,2,2,Água,Saúde,Redes Sociais,Melhorar transporte rural.
300,Lagoa Nova,Córrego,Rural,M,78,60+,Fundamental,3233,Autônomo,15,Não,Não,Sim,QR Code,4,2,2,2,2,5,2,5,4,4,5,2,4,3,Água,Saúde,Rádio,Melhorar abastecimento de água.
301,Rio Claro,Centro,Urbana,M,46,45-59,Fundamental,3218,Desempregado,21,Não,Não,Não,Tablet,5,4,4,4,2,5,5,2,3,4,4,4,3,3,Emprego,Saúde,WhatsApp,Melhorar abastecimento de água.
302,Boa Esperança,Santa Rita,Urbana,M,34,30-44,Fundamental,1684,Formal,25,Não,Não,Não,Tablet,3,4,5,4,4,3,5,2,4,4,4,3,4,1,Segurança,Emprego,WhatsApp,Investir em qualificação profissional.
303,Lagoa Nova,Córrego,Rural,F,43,30-44,Médio,2024,Autônomo,45,Não,Não,Não,Tablet,4,2,2,2,3,3,3,3,4,2,3,4,4,2,Água,Educação,Lideranças,Ampliar atendimento de saúde.
304,São Miguel do Norte,São José,Rural,M,46,45-59,Superior,3381,Aposentado,37,Sim,Não,Não,Tablet,3,3,3,2,5,5,3,2,4,2,3,5,4,3,Água,Saúde,WhatsApp,Ampliar atendimento de saúde.
305,Rio Claro,Centro,Rural,F,68,60+,Médio,3000,Formal,10,Não,Sim,Não,Tablet,2,4,3,1,3,3,4,5,3,5,5,4,3,1,Água,Saúde,Redes Sociais,Ampliar atendimento de saúde.
306,Pedra Branca,Pedreira,Urbana,M,73,60+,Superior,2713,Desempregado,39,Sim,Não,Não,Totem,2,4,4,4,4,2,5,3,3,2,5,5,3,3,Emprego,Saúde,Redes Sociais,Investir em qualificação profissional.
307,Lagoa Nova,Córrego,Urbana,M,50,45-59,Médio,1884,Autônomo,42,Não,Não,Sim,Totem,3,4,3,4,4,3,5,3,3,2,3,3,3,3,Emprego,Saúde,Redes Sociais,Investir em qualificação profissional.
308,Vale Verde,Boa Vista,Rural,M,65,60+,Fundamental,3341,Desempregado,53,Não,Não,Não,Tablet,4,3,2,3,4,5,4,5,3,2,4,2,3,1,Água,Saúde,WhatsApp,Ampliar atendimento de saúde.
309,Pedra Branca,Pedreira,Rural,M,20,18-29,Médio,1903,Agricultura,5,Não,Não,Não,QR Code,3,4,4,2,5,5,4,5,4,2,3,4,4,2,Água,Emprego,Lideranças,Ampliar atendimento de saúde.
310,Lagoa Nova,Córrego,Rural,M,76,60+,Fundamental,3123,Desempregado,7,Sim,Não,Não,Tablet,5,3,4,1,4,4,3,2,3,4,4,4,3,3,Água,Saúde,Redes Sociais,Melhorar abastecimento de água.
311,Santa Aurora,Lagoa,Rural,F,69,60+,Superior,3304,Desempregado,33,Não,Sim,Não,Tablet,2,4,2,2,2,2,3,3,3,5,3,5,3,3,Água,Saúde,Redes Sociais,Investir em qualificação profissional.
312,São Miguel do Norte,São José,Urbana,M,36,30-44,Fundamental,1902,Desempregado,29,Sim,Não,Não,Totem,5,4,2,4,5,3,5,5,5,2,4,5,5,3,Emprego,Emprego,WhatsApp,Ampliar atendimento de saúde.
313,Rio Claro,Centro,Urbana,M,62,60+,Médio,2941,Agricultura,56,Sim,Não,Não,QR Code,2,4,4,4,4,3,5,3,3,2,5,5,3,3,Emprego,Saúde,Rádio,Melhorar transporte rural.
314,Vale Verde,Boa Vista,Urbana,F,40,30-44,Médio,1818,Desempregado,20,Sim,Não,Não,Tablet,5,4,4,4,5,2,5,4,3,4,5,4,3,3,Segurança,Água,Rádio,Investir em qualificação profissional.
315,São Miguel do Norte,São José,Rural,F,43,30-44,Fundamental,2482,Agricultura,40,Não,Não,Não,QR Code,4,2,4,2,4,4,4,3,4,5,4,2,4,2,Água,Emprego,Rádio,Ampliar atendimento de saúde.
316,Santa Aurora,Lagoa,Rural,M,75,60+,Médio,1674,Formal,11,Não,Não,Não,Tablet,5,4,5,1,3,3,3,2,2,3,3,2,2,3,Água,Saúde,WhatsApp,Melhorar abastecimento de água.
317,Serra Azul,Barreiro,Rural,F,69,60+,Superior,3406,Formal,29,Não,Não,Sim,QR Code,3,4,3,1,3,5,4,4,3,4,5,4,3,2,Água,Saúde,Lideranças,Melhorar transporte rural.
318,Serra Azul,Barreiro,Urbana,M,80,60+,Fundamental,2147,Desempregado,59,Não,Sim,Sim,Totem,3,4,2,4,3,2,5,4,4,2,5,5,4,2,Segurança,Saúde,Lideranças,Melhorar abastecimento de água.
319,Serra Azul,Barreiro,Urbana,M,60,60+,Superior,2840,Formal,20,Sim,Sim,Não,Totem,2,4,2,4,5,4,5,4,5,3,3,5,5,3,Emprego,Saúde,Redes Sociais,Investir em qualificação profissional.
320,Lagoa Nova,Córrego,Rural,F,21,18-29,Superior,1706,Desempregado,8,Não,Sim,Não,Tablet,2,3,5,3,2,5,3,5,4,3,5,3,4,2,Água,Emprego,WhatsApp,Melhorar abastecimento de água.
321,Rio Claro,Centro,Urbana,M,23,18-29,Superior,4038,Formal,42,Não,Não,Não,QR Code,5,4,2,4,2,5,5,2,3,5,3,2,3,1,Saúde,Emprego,Rádio,Melhorar abastecimento de água.
322,Santa Aurora,Lagoa,Rural,F,21,18-29,Fundamental,3489,Desempregado,28,Sim,Não,Não,Totem,2,2,2,2,3,2,2,5,5,2,3,4,5,3,Água,Emprego,Redes Sociais,Investir em qualificação profissional.
323,Pedra Branca,Pedreira,Urbana,F,42,30-44,Superior,2594,Desempregado,49,Sim,Não,Não,QR Code,3,4,5,4,4,3,5,2,3,2,4,3,3,3,Segurança,Emprego,Redes Sociais,Melhorar transporte rural.
324,Serra Azul,Barreiro,Urbana,F,40,30-44,Fundamental,3446,Desempregado,8,Não,Não,Não,QR Code,3,4,2,4,2,5,5,2,3,5,4,3,3,3,Saúde,Água,WhatsApp,Melhorar transporte rural.
325,Pedra Branca,Pedreira,Rural,M,24,18-29,Superior,2708,Desempregado,56,Não,Não,Não,Tablet,3,3,2,3,5,5,2,5,2,2,3,3,2,3,Água,Emprego,Redes Sociais,Melhorar transporte rural.
326,Lagoa Nova,Córrego,Urbana,M,79,60+,Fundamental,3587,Agricultura,2,Sim,Não,Não,Totem,3,4,2,4,4,4,5,2,5,2,5,4,5,3,Saúde,Saúde,Rádio,Melhorar abastecimento de água.
327,Rio Claro,Centro,Rural,F,71,60+,Superior,3678,Agricultura,45,Não,Não,Sim,Tablet,2,3,5,3,5,3,3,5,3,2,4,4,3,1,Água,Saúde,WhatsApp,Investir em qualificação profissional.
328,Pedra Branca,Pedreira,Urbana,F,20,18-29,Médio,3313,Aposentado,6,Sim,Não,Não,Totem,5,4,2,4,3,4,5,5,4,4,5,3,4,3,Emprego,Emprego,WhatsApp,Melhorar transporte rural.
329,Santa Aurora,Lagoa,Urbana,M,24,18-29,Superior,3238,Autônomo,60,Não,Não,Não,Totem,2,4,5,4,5,3,5,2,4,5,5,2,4,2,Saúde,Emprego,WhatsApp,Melhorar abastecimento de água.
330,Boa Esperança,Santa Rita,Urbana,M,64,60+,Médio,1987,Aposentado,33,Sim,Não,Não,Tablet,5,4,5,4,4,5,5,2,5,2,5,4,5,3,Emprego,Saúde,Rádio,Investir em qualificação profissional.
331,Santa Aurora,Lagoa,Urbana,F,28,18-29,Médio,1801,Aposentado,39,Não,Não,Não,Tablet,5,4,2,4,5,2,5,5,4,2,3,2,4,2,Emprego,Emprego,WhatsApp,Investir em qualificação profissional.
332,Rio Claro,Centro,Rural,M,55,45-59,Fundamental,2316,Agricultura,31,Sim,Sim,Não,Totem,5,4,2,1,2,5,2,4,5,5,5,5,5,3,Água,Saúde,WhatsApp,Melhorar transporte rural.
333,São Miguel do Norte,São José,Rural,M,23,18-29,Fundamental,2605,Aposentado,33,Sim,Não,Não,QR Code,5,2,3,3,2,2,4,3,5,5,3,4,5,3,Água,Emprego,Rádio,Melhorar transporte rural.
334,Rio Claro,Centro,Rural,F,61,60+,Superior,3043,Agricultura,1,Sim,Não,Não,Tablet,4,2,3,1,5,2,4,4,5,4,4,4,5,3,Água,Saúde,WhatsApp,Ampliar atendimento de saúde.
335,São Miguel do Norte,São José,Rural,F,40,30-44,Superior,2670,Agricultura,35,Sim,Não,Não,Tablet,5,3,4,2,4,5,3,4,5,2,4,5,5,3,Água,Educação,Redes Sociais,Investir em qualificação profissional.
336,Pedra Branca,Pedreira,Urbana,M,78,60+,Médio,1419,Autônomo,28,Não,Sim,Não,Totem,5,4,2,4,4,3,5,5,5,5,4,5,5,1,Segurança,Saúde,WhatsApp,Ampliar atendimento de saúde.
337,Rio Claro,Centro,Rural,M,77,60+,Superior,3836,Desempregado,3,Sim,Sim,Sim,QR Code,2,3,2,2,3,5,4,3,4,5,4,5,4,3,Água,Saúde,Lideranças,Investir em qualificação profissional.
338,São Miguel do Norte,São José,Urbana,M,50,45-59,Médio,2711,Agricultura,55,Não,Sim,Não,Totem,5,4,3,4,3,5,5,4,4,4,4,5,4,2,Segurança,Saúde,WhatsApp,Investir em qualificação profissional.
339,Vale Verde,Boa Vista,Urbana,F,45,45-59,Fundamental,3081,Agricultura,8,Não,Não,Não,Totem,5,4,4,4,4,5,5,3,2,3,5,4,2,1,Saúde,Saúde,Lideranças,Melhorar abastecimento de água.
340,Santa Aurora,Lagoa,Rural,F,70,60+,Superior,2112,Autônomo,35,Não,Não,Não,Totem,2,4,3,3,2,4,4,3,4,4,4,2,4,3,Água,Saúde,Rádio,Aumentar diálogo com comunidades.
341,Boa Esperança,Santa Rita,Urbana,F,33,30-44,Fundamental,1865,Aposentado,14,Sim,Não,Sim,QR Code,2,4,5,4,3,5,5,2,4,5,5,3,4,3,Saúde,Emprego,Redes Sociais,Aumentar diálogo com comunidades.
342,Vale Verde,Boa Vista,Rural,F,27,18-29,Fundamental,2166,Autônomo,7,Não,Não,Sim,Tablet,5,4,4,2,3,2,4,4,2,4,4,2,2,3,Água,Emprego,Lideranças,Ampliar atendimento de saúde.
343,São Miguel do Norte,São José,Urbana,F,27,18-29,Superior,2120,Aposentado,53,Não,Não,Não,QR Code,4,4,5,4,5,5,5,2,4,3,3,2,4,3,Saúde,Emprego,WhatsApp,Ampliar atendimento de saúde.
344,Boa Esperança,Santa Rita,Urbana,F,80,60+,Médio,2386,Formal,51,Não,Não,Não,QR Code,2,4,4,4,2,3,5,2,2,5,5,4,2,2,Saúde,Saúde,Rádio,Melhorar transporte rural.
345,Pedra Branca,Pedreira,Rural,M,56,45-59,Médio,1715,Formal,49,Não,Não,Sim,Tablet,5,3,2,2,4,2,4,5,2,4,4,2,2,2,Água,Saúde,Rádio,Investir em qualificação profissional.
346,Vale Verde,Boa Vista,Urbana,F,38,30-44,Médio,2308,Desempregado,59,Não,Sim,Sim,Totem,2,4,2,4,4,2,5,3,5,5,4,3,5,3,Saúde,Emprego,Lideranças,Investir em qualificação profissional.
347,Lagoa Nova,Córrego,Urbana,F,34,30-44,Fundamental,3232,Desempregado,19,Não,Não,Não,Tablet,5,4,4,4,3,5,5,5,3,4,5,2,3,2,Saúde,Emprego,Rádio,Ampliar atendimento de saúde.
348,Pedra Branca,Pedreira,Rural,M,42,30-44,Fundamental,3517,Agricultura,23,Não,Não,Não,QR Code,5,4,4,1,2,5,4,5,4,3,3,3,4,1,Água,Água,WhatsApp,Investir em qualificação profissional.
349,Rio Claro,Centro,Rural,M,66,60+,Fundamental,3793,Desempregado,38,Não,Sim,Não,Tablet,5,4,3,3,3,3,2,5,4,2,4,3,4,2,Água,Saúde,WhatsApp,Ampliar atendimento de saúde.
350,Rio Claro,Centro,Urbana,F,43,30-44,Fundamental,3959,Aposentado,38,Sim,Não,Sim,QR Code,5,4,2,4,4,3,5,4,4,4,3,3,4,3,Segurança,Emprego,WhatsApp,Melhorar transporte rural.
351,São Miguel do Norte,São José,Urbana,M,48,45-59,Fundamental,1544,Desempregado,60,Sim,Não,Sim,Totem,3,4,4,4,3,2,5,2,3,2,4,5,3,3,Emprego,Saúde,Lideranças,Aumentar diálogo com comunidades.
352,Lagoa Nova,Córrego,Urbana,F,48,45-59,Superior,2690,Aposentado,8,Não,Não,Não,Tablet,5,4,4,4,5,4,5,5,4,3,4,4,4,3,Emprego,Saúde,Rádio,Aumentar diálogo com comunidades.
353,Vale Verde,Boa Vista,Urbana,M,65,60+,Fundamental,3232,Autônomo,4,Sim,Não,Não,Totem,3,4,5,4,2,2,5,2,4,5,4,3,4,3,Segurança,Saúde,Lideranças,Investir em qualificação profissional.
354,Rio Claro,Centro,Urbana,F,42,30-44,Superior,2452,Autônomo,60,Sim,Não,Não,QR Code,3,4,4,4,5,2,5,4,4,2,5,3,4,3,Saúde,Educação,Lideranças,Melhorar abastecimento de água.
355,São Miguel do Norte,São José,Rural,F,29,18-29,Fundamental,3527,Aposentado,28,Não,Não,Sim,Totem,3,4,4,1,4,5,2,5,3,3,4,2,3,1,Água,Emprego,Rádio,Melhorar abastecimento de água.
